starttime,Broadway_35th_St,Cross_Bronx_Expy,Hunts_Point,Manhattan_Bridge,Queens_College,Queensboro_Bridge,Williamsburg_Bridge
6/25 12AM,16.03,27.01,29.4,18.28,23.34,24.25,18.91
6/25 1AM,16.95,28.02,24.47,17.39,27.95,24.79,15.47
6/25 2AM,16.46,28.29,30.03,18.64,23.1,21.83,17.59
6/25 3AM,12.42,17.26,28.15,15.45,21.14,16.88,18.71
6/25 4AM,10.26,26.86,25.92,17.69,21.23,14.37,15.53
6/25 5AM,12.67,29.21,25.07,17.66,20.37,22.69,15.08
6/25 6AM,12.85,32.01,28.61,18.35,24.73,23.79,16.48
6/25 7AM,12.66,34.06,33.83,13.17,26.89,21.39,15.01
6/25 8AM,20.21,33.03,25.76,19.42,25.26,29.17,25.76
6/25 9AM,27.82,28.02,22.55,27.52,22.2,28.92,26.38
6/25 10AM,22.86,20.32,23.2,18.51,16.57,19.09,19.24
6/25 11AM,21.03,15.29,13.74,20.18,16.39,16.27,17.5
6/25 12PM,21.02,12.99,17.11,17.93,15.64,11.01,18.6
6/25 1PM,22.88,16.27,17.6,19.2,14.53,12.21,18.87
6/25 2PM,24.25,19.46,17.16,20.54,15.89,12.86,18.57
6/25 3PM,19.73,18.08,15.46,16.82,15.38,9.47,16
6/25 4PM,19.47,15.1,17.17,17.06,13.81,16.3,14.72
6/25 5PM,21.11,15.59,14.88,15.98,14.4,16.03,15.7
6/25 6PM,21.82,14.83,14.07,17.75,14.62,17.57,16.87
6/25 7PM,21.93,16.68,15.2,38.6,14.19,20.42,18.01
6/25 8PM,22.91,17.22,16.68,31.09,13.54,18.35,17.58
6/25 9PM,22.67,18.25,16.82,19.66,13.98,17.89,19.46
6/25 10PM,22.8,20.73,18.57,22.28,15.79,20,22.11
6/25 11PM,26.19,23.73,21.26,23.67,17.95,23.01,23.7
6/26 12AM,24.23,25.49,21.55,24.3,17.72,24.2,25.31
6/26 1AM,27.34,26.01,22.05,24.7,19.13,24.15,24.88
6/26 2AM,25.91,29.37,28.77,22.08,18.43,22.31,20.35
6/26 3AM,19.46,30.63,26.2,21.5,16.55,21.27,20.66
6/26 4AM,18.44,32.71,28.25,21.98,17.95,22.82,22.16
6/26 5AM,21.92,30.14,27.49,21.85,19.39,23.71,22.31
6/26 6AM,20.66,27.62,28.29,24.32,19.8,24.47,23.77
6/26 7AM,25.66,24.64,27.62,27.58,18.19,27.83,27.69
6/26 8AM,26.44,23.96,28.39,22.57,16.69,26.07,21.87
6/26 9AM,20.88,23.6,25.68,18.4,14.16,22.05,
6/26 10AM,16.78,20.96,24.36,15.99,13.05,15.42,
6/26 11AM,21.81,24.54,26.92,20.03,13.53,19.35,
6/26 12PM,21.45,18.3,21.86,19.64,13.15,19.87,
6/26 1PM,21.66,17.24,24.27,19.91,14.21,19.16,
